State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,,,,991,692,0.7,21,15,0.71,,,,,,,,,,,,,49,36,0.73,42,31,0.74,165,123,0.75,9,7,0.78,63,70,1.11,34,37,1.09,44,44,1,28,28,1,,,,50,50,1,35,35,1,31,31,1,42,42,1,,,,157,158,1.01,178,179,1.01
Total (Other Rabi pulses),,,,0,991,692,0.7,21,15,0.71,,,0,,,0,,,0,,,0,49,36,0.73,42,31,0.74,165,123,0.75,9,7,0.78,63,70,1.11,34,37,1.09,44,44,1,28,28,1,,,0,50,50,1,35,35,1,31,31,1,42,42,1,,,0,157,158,1.01,178,179,1.01
18. Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,2,1,0.5,2,1,0.5,,,,,,,11,6,0.55,7,3,0.43,,,,,,,,,,,,,3,2,0.67,,,,,,,,,,3,3,1,,,,,,,32,32,1,32,32,1,26,26,1,,,,11,11,1,22,22,1
Total (Other Kharif pulses),,2,1,0.5,2,1,0.5,,,0,,,0,11,6,0.55,7,3,0.43,,,0,,,0,,,0,,,0,3,2,0.67,,,0,,,0,,,0,3,3,1,,,0,,,0,32,32,1,32,32,1,26,26,1,,,0,11,11,1,22,22,1
19. Peas & beans (Pulses),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,716,689,0.96,723,711,0.98,617,536,0.87,556,523,0.94,902,777,0.86,945,864,0.91,794,736,0.93,1090,1010,0.93,698,671,0.96,811,812,1,767,794,1.04,852,878,1.03,862,897,1.04,909,1136,1.25,734,741,1.01,808,851,1.05,773,853,1.1,816,841,1.03,767,815,1.06,715,762,1.07,621,654,1.05,539,572,1.06,485,514,1.06
Total (Peas & beans (Pulses)),,716,689,0.96,723,711,0.98,617,536,0.87,556,523,0.94,902,777,0.86,945,864,0.91,794,736,0.93,1090,1010,0.93,698,671,0.96,811,812,1,767,794,1.04,852,878,1.03,862,897,1.04,909,1136,1.25,734,741,1.01,808,851,1.05,773,853,1.1,816,841,1.03,767,815,1.06,715,762,1.07,621,654,1.05,539,572,1.06,485,514,1.06
20. Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,1788,22958,12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
